"WindowBuilder Pro","Switch Source/Design Editors","⇧F12","Editing Text"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Text Editing","Set Mark","⌃Space","Editing Text"
"Source","Organize Imports","⇧⌘O","JavaScript View"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Edit","Incremental Find","⌃S","Editing Text"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Edit","Undo","⌃X U","In Windows"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Run/Debug","Debug Android Application","⇧⌥A D","In Windows"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Spy","Plug-in Selection Spy","⇧⌥F1","In Dialogs and Windows"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Edit","Context Information","⌥?","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View"
"WindowBuilder Pro","Empty command","⌥⌘A","WindowBuilder XML scope"
"pepticcategory","Generate Constructor using Fields...","⇧⌥T C","PyDev editor scope"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Source","Add Import","⇧⌘M","Editing JavaScript Source"
"Navigate","Go to Line","⌘L","Editing Text"
"File","Print","⌥F9","In Windows"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"PyDev - Editor","Select Enclosing Scope","⇧⌥↑","PyDev editor scope"
"PyDev - Editor","Python Comment","⌘3","PyDev editor scope"
"Search","References in Workspace","⇧⌘G","JavaScript View"
"Edit","Undo","F9","In Windows"
"pepticcategory","Extract Local Variable...","⌃R ⌃V","PyDev editor scope"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Text Editing","Text Start","↖","Editing Text"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"File","New","⌘N","In Windows"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"Text Editing","Previous Word","Esc B","Editing Text"
"Text Editing","Text Start","⌃X [","Editing Text"
"Text Editing","Text Start","⇧⌥<","Editing Text"
"Text Editing","Delete Next Word","Esc D","Editing Text"
"Source","Quick Assist - Extract constant","⌃R ⌃C","PyDev editor scope"
"PyDev - Editor","Interactive Console","⌥⌘↩","PyDev editor scope"
"Window","Quick Switch Editor","⌃X B","In Windows"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Source","Quick Assist - Extract constant","⌃R ⌃C","PyDev editor scope"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"File","Refresh","F5","In Windows"
"Edit","Restore Last Selection","⇧⌃↓","Editing JavaScript Source"
"PyDev - Editor","Python Toggle Comment","⌘/","PyDev editor scope"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"pepticcategory","Inline Local Variable...","⇧⌥T I","PyDev editor scope"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Navigate","Show In...","⌥⌘W","In Windows"
"Edit","Select Enclosing Element","⇧⌃↑","Editing XML Source"
"Run/Debug","Terminate","⌘F2","Debugging"
"Edit","Find and Replace","⌥R","In Windows"
"Edit","Cut","⌃W","In Dialogs and Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Source","Remove Block Comment","⇧⌘\","Editing JavaScript Source"
"Edit","Redo","F10","In Windows"
"Source","Toggle Comment","⌘7","Editing JavaScript Source"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"File","Close All","⌃X ⌃C","In Windows"
"Edit","Paste","⌃Y","In Dialogs and Windows"
"Text Editing","Page Up","Esc V","Editing Text"
"Source","Show Source Quick Menu","⌥⌘S","JavaScript View"
"PyDev - Run","Relaunch last pydev launch","⇧⌘F9","PyDev editor scope"
"Text Editing","Text Start","⌥<","Editing Text"
"PyDev - Editor","Python Organize Imports","⇧⌘O","PyDev editor scope"
"Navigate","Go to Previous Member","⌃⌥↑","Editing JavaScript Source"
"pepticcategory","Inline Local Variable...","⇧⌥I","PyDev editor scope"
"Refactor - JavaScript","Change Function Signature","⌥⌘C","JavaScript View"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Edit","Context Information","⇧⌥?","In Windows"
"Views","JavaScript Script Explorer","⌥⌘Q P","JavaScript View"
